tk_pips,ls_pips,gain_rate
0.055,0.2,8.404196260979275e-09
0.055,0.25,4.549621068741104e-07
0.055,0.30000000000000004,1.6026640501869545e-06
0.055,0.35000000000000003,1.925731920251423e-05
0.055,0.4,5.8917238192204945e-05
0.055,0.45,0.00014481161852568947
0.055,0.5,0.00040293929565666885
0.055,0.55,0.0021088875043825113
0.055,0.6000000000000001,0.0027995273244867214
0.055,0.65,0.0028429099889392562
0.055,0.7000000000000001,0.005139630172666529
0.055,0.75,0.004918072084451182
0.055,0.8,0.0029632809226629335
0.055,0.8500000000000001,0.004023099474709539
0.055,0.9,0.006638218994193434
0.055,0.9500000000000001,0.011558361078927014
0.06,0.0,0.002808175995486596
0.06,0.05,1.098284292594706e-11
0.06,0.1,2.6438089919720064e-11
0.06,0.15000000000000002,1.8995702579210604e-09
0.06,0.2,2.827637353838574e-08
0.06,0.25,9.897542089210689e-07
0.06,0.30000000000000004,3.6079893029125132e-06
0.06,0.35000000000000003,4.7135801713976966e-05
0.06,0.4,7.46282996972177e-05
0.06,0.45,0.00018846435023182388
0.06,0.5,0.0004926250091876336
0.06,0.55,0.002681260128613887
0.06,0.6000000000000001,0.00385053362842471
0.06,0.65,0.00487490935597027
0.06,0.7000000000000001,0.008916695991695364
0.06,0.75,0.009351118332164619
0.06,0.8,0.007168257562295421
0.06,0.8500000000000001,0.006519617398614755
0.06,0.9,0.012883199411113731
0.06,0.9500000000000001,0.022065359304131688
0.065,0.0,0.003346470572534453
0.065,0.05,6.205751455320313e-11
0.065,0.1,1.0733328581634814e-10
0.065,0.15000000000000002,3.2045004711849516e-09
0.065,0.2,5.439704467705371e-08
0.065,0.25,1.938512839233576e-06
0.065,0.30000000000000004,5.71919714439646e-06
0.065,0.35000000000000003,4.311874583457237e-05
0.065,0.4,8.882596530319699e-05
0.065,0.45,0.00016142497134158398
0.065,0.5,0.0003555328372728991
0.065,0.55,0.0014607892140332441
0.065,0.6000000000000001,0.001871703659682842
0.065,0.65,0.003423481849071887
0.065,0.7000000000000001,0.006114715444621374
0.065,0.75,0.006244869570970365
0.065,0.8,0.003950644745129238
0.065,0.8500000000000001,0.0027712109099118157
0.065,0.9,0.00863266934461192
0.065,0.9500000000000001,0.013940574100821586
0.07,0.0,0.003882957598981559
0.07,0.05,3.960404419880842e-10
0.07,0.1,3.1644171303094224e-10
0.07,0.15000000000000002,1.6235818304117282e-08
0.07,0.2,1.4403848645750626e-07
0.07,0.25,2.531821064981135e-06
0.07,0.30000000000000004,1.1141619363111826e-05
0.07,0.35000000000000003,7.196845927080282e-05
0.07,0.4,0.00021108726360226376
0.07,0.45,0.0002851267851881209
0.07,0.5,0.00029885839205839377
0.07,0.55,0.0012938797691774188
0.07,0.6000000000000001,0.0013822624283631086
0.07,0.65,0.0028759252566136115
0.07,0.7000000000000001,0.005397233269591892
0.07,0.75,0.005206478132202126
0.07,0.8,0.0033510694426725366
0.07,0.8500000000000001,0.0019841470020521314
0.07,0.9,0.005162622971618955
0.07,0.9500000000000001,0.009845005180673261
0.075,0.0,0.004053360307819155
0.075,0.05,2.5171257847792384e-09
0.075,0.1,3.0955398578684077e-09
0.075,0.15000000000000002,8.492724662716274e-08
0.075,0.2,7.762314350913318e-07
0.075,0.25,9.414010207033486e-06
0.075,0.30000000000000004,2.838691987568764e-05
0.075,0.35000000000000003,0.0003273502422099112
0.075,0.4,0.00046739626815318013
0.075,0.45,0.0006879795597669391
0.075,0.5,0.0007082826058171673
0.075,0.55,0.003268915507550931
0.075,0.6000000000000001,0.0031981183499218036
0.075,0.65,0.004306175299734725
0.075,0.7000000000000001,0.008701588804419453
0.075,0.75,0.009744966415795005
0.075,0.8,0.005890800579071113
0.075,0.8500000000000001,0.004128224254666283
0.075,0.9,0.00724687455889657
0.075,0.9500000000000001,0.016132326642964472
0.08,0.0,0.004943619571280458
0.08,0.05,5.689533010673307e-09
0.08,0.1,8.35115850909529e-09
0.08,0.15000000000000002,1.2883518586522e-07
0.08,0.2,7.989286875200851e-07
0.08,0.25,1.2373286300537731e-05
0.08,0.30000000000000004,2.1375779215747615e-05
0.08,0.35000000000000003,0.00030263395169094633
0.08,0.4,0.0003739746689743463
0.08,0.45,0.0004900742379545676
0.08,0.5,0.0005641020515941686
0.08,0.55,0.002388855454494478
0.08,0.6000000000000001,0.001985462431923714
0.08,0.65,0.0027605950279343903
0.08,0.7000000000000001,0.005028833998218472
0.08,0.75,0.005309398694045542
0.08,0.8,0.0033569468776259884
0.08,0.8500000000000001,0.0027162488835880878
0.08,0.9,0.0043968175740801965
0.08,0.9500000000000001,0.008927888396652204
0.085,0.0,0.00553795621784611
0.085,0.05,1.8758753645126653e-08
0.085,0.1,2.5791889508221937e-08
0.085,0.15000000000000002,2.798616342454632e-07
0.085,0.2,2.485323083211294e-06
0.085,0.25,4.549213804556939e-05
0.085,0.30000000000000004,6.651433254676265e-05
0.085,0.35000000000000003,0.0005986873473859933
0.085,0.4,0.000987830073020793
0.085,0.45,0.000922486632841
0.085,0.5,0.0013046218574205807
0.085,0.55,0.006235635528821651
0.085,0.6000000000000001,0.004765464483189086
0.085,0.65,0.00750403596722055
0.085,0.7000000000000001,0.01285619220163057
0.085,0.75,0.0169072572129678
0.085,0.8,0.012566053369923239
0.085,0.8500000000000001,0.006401708237050982
0.085,0.9,0.01096179877625392
0.085,0.9500000000000001,0.01698504689696862
0.09,0.0,0.006124303152712161
0.09,0.05,6.629434440857656e-08
0.09,0.1,7.392896722159363e-08
0.09,0.15000000000000002,1.3233803552756585e-06
0.09,0.2,6.373463855786303e-06
0.09,0.25,8.793794678334654e-05
0.09,0.30000000000000004,0.0001718924616774217
0.09,0.35000000000000003,0.0014123070509959215
0.09,0.4,0.00237415652468365
0.09,0.45,0.0017410056462928494
0.09,0.5,0.0020043766406846056
0.09,0.55,0.005644708160573497
0.09,0.6000000000000001,0.0055956336197869085
0.09,0.65,0.009547721156504095
0.09,0.7000000000000001,0.022881476288786836
0.09,0.75,0.02574930248164332
0.09,0.8,0.0261463739043203
0.09,0.8500000000000001,0.016768832114132354
0.09,0.9,0.025498781442004015
0.09,0.9500000000000001,0.03712482959488206
0.095,0.0,0.0071963261179834636
0.095,0.05,9.116248244972665e-08
0.095,0.1,8.652878995751819e-08
0.095,0.15000000000000002,1.1712998929331639e-06
0.095,0.2,6.906905473248979e-06
0.095,0.25,0.00010671070417039239
0.095,0.30000000000000004,0.0001993137987188044
0.095,0.35000000000000003,0.0009849205843021442
0.095,0.4,0.0013094790664675668
0.095,0.45,0.001352069137794082
0.095,0.5,0.001840483730072898
0.095,0.55,0.006280154851808239
0.095,0.6000000000000001,0.005704350312414971
0.095,0.65,0.010928634492068557
0.095,0.7000000000000001,0.022875931025969753
0.095,0.75,0.018658939434489184
0.095,0.8,0.016772785582845107
0.095,0.8500000000000001,0.012755354522666984
0.095,0.9,0.016088993587873676
0.095,0.9500000000000001,0.021702175960821236
0.1,0.0,0.008238095691415846
0.1,0.05,2.5520198826122625e-07
0.1,0.1,2.2553155064278204e-07
0.1,0.15000000000000002,3.2650861411578246e-06
0.1,0.2,1.3137868198334839e-05
0.1,0.25,0.00016943207552212026
0.1,0.30000000000000004,0.00036088332333425796
0.1,0.35000000000000003,0.0015035556293447726
0.1,0.4,0.001629178811519433
0.1,0.45,0.002616374855724919
0.1,0.5,0.0033272609865251765
0.1,0.55,0.009885136904896714
0.1,0.6000000000000001,0.006922281728997399
0.1,0.65,0.010842832456510593
0.1,0.7000000000000001,0.02517961194764419
0.1,0.75,0.02371386687891544
0.1,0.8,0.023429663220160706
0.1,0.8500000000000001,0.0220935849534303
0.1,0.9,0.022673711603662383
0.1,0.9500000000000001,0.02952147621339974
0.105,0.0,0.009834354790383837
0.105,0.05,4.859214737507638e-07
0.105,0.1,4.48257000171199e-07
0.105,0.15000000000000002,6.624919939341374e-06
0.105,0.2,1.943731011124715e-05
0.105,0.25,0.0002894969636339162
0.105,0.30000000000000004,0.00033939828819071265
0.105,0.35000000000000003,0.0018670549130250552
0.105,0.4,0.0013609322270007722
0.105,0.45,0.0025826969349705335
0.105,0.5,0.002786468776903179
0.105,0.55,0.011402502635756925
0.105,0.6000000000000001,0.008919835166876736
0.105,0.65,0.011109882376810222
0.105,0.7000000000000001,0.02876311277115319
0.105,0.75,0.030294578692816623
0.105,0.8,0.03381376068785656
0.105,0.8500000000000001,0.028041338528122146
0.105,0.9,0.0258136707377335
0.105,0.9500000000000001,0.03725130808487357
0.11,0.0,0.010363012481446535
