date,time,open,high,low,close,volume,moving_60_ave,deviation_rate,rise_rate
2022.04.11,03:00,124.399,124.639,124.283,124.593,7392,123.98053333333334,1.0049400228422956,1
2022.04.11,04:00,124.593,124.955,124.519,124.751,8333,123.99536666666667,1.0060940449118931,1
2022.04.11,05:00,124.75,124.997,124.743,124.877,8113,124.01395000000001,1.0069592977241673,1
2022.04.11,06:00,124.878,124.939,124.813,124.866,4557,124.03303333333335,1.0067156840744844,1
2022.04.11,07:00,124.867,124.942,124.834,124.92,3820,124.05261666666668,1.0069920599552045,1
2022.04.11,08:00,124.921,125.055,124.892,124.999,6060,124.07271666666665,1.007465648840606,1
2022.04.11,09:00,125.0,125.437,124.974,125.427,11735,124.10031666666666,1.0106904105401828,1
2022.04.11,10:00,125.426,125.429,125.124,125.244,10203,124.12458333333332,1.0090184928448904,1
2022.04.11,11:00,125.245,125.363,125.159,125.33,8307,124.15104999999998,1.0094960936697677,1
2022.04.11,12:00,125.328,125.439,125.295,125.337,7117,124.17706666666666,1.009340962582463,1
2022.04.11,13:00,125.341,125.539,125.243,125.473,7528,124.20391666666666,1.0102177400471135,1
2022.04.11,14:00,125.473,125.704,125.445,125.703,8235,124.23691666666669,1.0118007060434935,0
2022.04.11,15:00,125.702,125.769,125.511,125.556,10112,124.26951666666669,1.0103523645045156,0
2022.04.11,16:00,125.557,125.599,125.406,125.547,9781,124.30160000000001,1.0100191791577904,0
2022.04.11,17:00,125.547,125.612,125.468,125.526,9820,124.33244999999998,1.009599666056609,0
2022.04.11,18:00,125.525,125.567,125.408,125.549,6699,124.36319999999999,1.0095349749765206,0
2022.04.11,19:00,125.55,125.583,125.478,125.513,3913,124.39368333333333,1.0089981793019769,0
2022.04.11,20:00,125.511,125.607,125.494,125.571,3339,124.42566666666667,1.0092049603913447,0
2022.04.11,21:00,125.57,125.57,125.449,125.451,3614,124.45246666666667,1.008023411347947,0
2022.04.11,22:00,125.452,125.473,125.396,125.405,3463,124.47981666666666,1.0074323963362735,0
2022.04.11,23:00,125.405,125.417,125.341,125.345,2698,124.50659999999999,1.0067337795747375,0
2022.04.12,00:00,125.345,125.397,125.314,125.386,6781,124.53438333333335,1.0068384059395643,0
2022.04.12,01:00,125.379,125.487,125.361,125.475,3673,124.56206666666668,1.0073291440786412,0
2022.04.12,02:00,125.475,125.555,125.443,125.482,4445,124.58775,1.007177671962131,0
2022.04.12,03:00,125.482,125.56,125.106,125.471,11660,124.61255000000001,1.0068889529987148,0
2022.04.12,04:00,125.469,125.56,125.344,125.396,8255,124.63678333333333,1.0060914334144535,0
2022.04.12,05:00,125.397,125.484,125.347,125.437,5567,124.66213333333333,1.006215734048083,0
2022.04.12,06:00,125.436,125.463,125.404,125.422,3615,124.68911666666664,1.0058776848607613,0
2022.04.12,07:00,125.422,125.422,125.199,125.352,5716,124.71303333333331,1.0051234955127653,0
2022.04.12,08:00,125.351,125.54,125.339,125.5,6439,124.73868333333331,1.0061032924696844,0
2022.04.12,09:00,125.5,125.756,125.442,125.699,9035,124.76768333333331,1.0074644061810345,0
2022.04.12,10:00,125.699,125.717,125.458,125.517,9779,124.79381666666664,1.0057950253678436,0
2022.04.12,11:00,125.516,125.724,125.502,125.629,8264,124.82265,1.0064599653989081,0
2022.04.12,12:00,125.63,125.713,125.565,125.619,6486,124.85043333333331,1.0061558990717694,0
2022.04.12,13:00,125.618,125.627,125.539,125.591,5407,124.87481666666666,1.005735210288597,0
2022.04.12,14:00,125.592,125.593,125.476,125.477,5294,124.89783333333334,1.0046371234088662,0
2022.04.12,15:00,125.476,125.6,124.762,124.932,15006,124.91671666666666,1.000122348183183,1
2022.04.12,16:00,124.94,125.338,124.902,125.275,15694,124.94103333333334,1.0026729942738322,1
2022.04.12,17:00,125.273,125.279,125.112,125.171,10473,124.96181666666665,1.00167397801115,1
2022.04.12,18:00,125.178,125.256,125.118,125.241,7076,124.9834,1.0020610737105888,1
2022.04.12,19:00,125.24,125.294,125.05,125.236,8329,125.00438333333334,1.0018528683594161,1
2022.04.12,20:00,125.236,125.325,125.154,125.234,6807,125.02571666666668,1.0016659239305832,1
2022.04.12,21:00,125.235,125.317,125.213,125.281,4681,125.04591666666666,1.0018799760887835,1
2022.04.12,22:00,125.282,125.343,125.257,125.333,3366,125.06738333333332,1.0021237884697622,1
2022.04.12,23:00,125.334,125.403,125.306,125.329,1948,125.08784999999997,1.0019278451104565,1
2022.04.13,00:00,125.32,125.397,125.3,125.375,1368,125.10936666666666,1.0021232090003387,1
2022.04.13,01:00,125.374,125.405,125.346,125.392,2285,125.13098333333332,1.0020859475384394,1
2022.04.13,02:00,125.393,125.496,125.381,125.428,3249,125.15188333333332,1.0022062525893538,1
2022.04.13,03:00,125.429,125.64,125.348,125.59,8671,125.17176666666666,1.003341275308889,1
2022.04.13,04:00,125.592,125.636,125.522,125.592,6668,125.18863333333333,1.0032220710133695,1
2022.04.13,05:00,125.594,125.65,125.55,125.581,4944,125.20834999999998,1.002976239204494,1
2022.04.13,06:00,125.581,125.583,125.464,125.51,3742,125.22835,1.0022490913599038,1
2022.04.13,07:00,125.51,125.613,125.489,125.604,3532,125.2486,1.0028375566673,1
2022.04.13,08:00,125.603,125.726,125.559,125.596,4687,125.26826666666669,1.0026162518413813,1
2022.04.13,09:00,125.597,126.223,125.569,126.133,12898,125.29768333333335,1.0066666569121188,0
2022.04.13,10:00,126.133,126.317,126.005,126.035,10808,125.32578333333335,1.0056589845106358,0
2022.04.13,11:00,126.036,126.157,125.947,126.042,8373,125.35503333333331,1.0054801681942835,0
2022.04.13,12:00,126.042,126.21,126.039,126.053,6524,125.38571666666665,1.0053218448725487,0
2022.04.13,13:00,126.053,126.115,126.006,126.042,6304,125.41401666666667,1.0050072818814377,0
2022.04.13,14:00,126.042,126.068,125.616,125.829,10418,125.43783333333334,1.0031184105805397,0
2022.04.13,15:00,125.832,125.998,125.776,125.901,11189,125.45963333333334,1.0035179974222783,0
2022.04.13,16:00,125.9,125.961,125.683,125.834,10861,125.47768333333333,1.002839681584813,0
2022.04.13,17:00,125.836,125.913,125.703,125.723,9774,125.49178333333333,1.0018424845079499,0
2022.04.13,18:00,125.723,125.762,125.487,125.535,7129,125.50293333333333,1.0002555053162103,0
2022.04.13,19:00,125.534,125.604,125.373,125.594,7328,125.51416666666667,1.0006360503794391,0
2022.04.13,20:00,125.593,125.629,125.489,125.598,5862,125.52414999999999,1.0005883330020557,0
2022.04.13,21:00,125.598,125.627,125.529,125.614,4362,125.52726666666666,1.00069095213842,0
2022.04.13,22:00,125.613,125.709,125.599,125.677,3845,125.53448333333333,1.001135279031565,0
2022.04.13,23:00,125.676,125.682,125.638,125.65,2448,125.53981666666664,1.0008776763919125,0
2022.04.14,00:00,125.519,125.697,125.488,125.669,6421,125.54534999999997,1.0009849030649087,0
2022.04.14,01:00,125.67,125.688,125.575,125.595,5493,125.54738333333333,1.0003792724738854,0
2022.04.14,02:00,125.596,125.609,125.355,125.364,5223,125.54173333333333,0.9985842689230567,0
2022.04.14,03:00,125.364,125.591,125.209,125.507,9826,125.54091666666665,0.9997298357573994,0
2022.04.14,04:00,125.507,125.541,125.228,125.277,7590,125.53641666666665,0.9979335345586973,0
2022.04.14,05:00,125.275,125.395,125.253,125.339,6077,125.5333,0.998452203518907,0
2022.04.14,06:00,125.339,125.349,125.101,125.222,5732,125.52784999999999,0.9975634888990771,1
2022.04.14,07:00,125.222,125.356,125.219,125.272,5280,125.52383333333334,0.9979937408964831,1
2022.04.14,08:00,125.272,125.435,125.18,125.417,5080,125.52126666666666,0.9991693306685349,1
2022.04.14,09:00,125.418,125.466,125.273,125.279,6802,125.51840000000001,0.9980927099134468,1
2022.04.14,10:00,125.278,125.344,125.082,125.332,10493,125.51718333333335,0.9985246375961006,1
2022.04.14,11:00,125.335,125.424,125.323,125.386,7417,125.5178666666667,0.9989494191530764,1
2022.04.14,12:00,125.386,125.445,125.323,125.376,5976,125.51770000000003,0.9988710755534874,1
2022.04.14,13:00,125.375,125.427,125.249,125.253,5653,125.51400000000002,0.9979205506955398,1
2022.04.14,14:00,125.252,125.356,125.198,125.348,8322,125.51176666666667,0.9986952086563995,1
2022.04.14,15:00,125.348,125.591,125.274,125.531,11781,125.51276666666666,1.0001452707466945,1
2022.04.14,16:00,125.532,126.013,125.472,125.946,15579,125.52193333333331,1.003378426824741,1
2022.04.14,17:00,125.946,125.978,125.72,125.891,12899,125.5295,1.0028798011622766,1
2022.04.14,18:00,125.891,125.99,125.813,125.924,10720,125.53786666666664,1.0030758315684831,1
2022.04.14,19:00,125.923,125.965,125.827,125.932,6080,125.54753333333333,1.003062319557055,1
2022.04.14,20:00,125.931,125.988,125.881,125.964,4014,125.55526666666667,1.0032554057204026,1
2022.04.14,21:00,125.965,125.989,125.929,125.988,2411,125.56008333333334,1.0034080629393232,1
2022.04.14,22:00,125.984,125.987,125.932,125.943,2493,125.56718333333333,1.0029929529092727,1
2022.04.14,23:00,125.944,125.957,125.867,125.87,1931,125.57120000000002,1.0023795265156341,1
2022.04.15,00:00,125.869,125.919,125.847,125.909,3069,125.57603333333334,1.0026515144476877,1
2022.04.15,01:00,125.909,125.965,125.903,125.954,3148,125.58208333333332,1.002961542417476,1
2022.04.15,02:00,125.955,126.21,125.951,126.172,9201,125.59366666666665,1.0046047969510141,1
2022.04.15,03:00,126.171,126.36,126.051,126.306,10031,125.61656666666664,1.0054883949755036,1
2022.04.15,04:00,126.306,126.55,126.238,126.425,9826,125.63573333333332,1.0062821829882793,1
2022.04.15,05:00,126.426,126.468,126.293,126.442,6671,125.65691666666665,1.00624783222571,1
2022.04.15,06:00,126.442,126.446,126.36,126.364,4487,125.67563333333332,1.0054773280102827,1
2022.04.15,07:00,126.364,126.429,126.358,126.376,6749,125.69463333333333,1.0054208095333692,1
2022.04.15,08:00,126.377,126.464,126.331,126.422,5137,125.71443333333332,1.0056283646030568,1
2022.04.15,09:00,126.42,126.678,126.414,126.571,6838,125.73593333333332,1.0066414321230899,1
2022.04.15,10:00,126.572,126.603,126.42,126.464,7405,125.75478333333332,1.0056396794449305,1
2022.04.15,11:00,126.465,126.49,126.411,126.482,9915,125.77399999999997,1.0056291443382577,1
2022.04.15,12:00,126.483,126.492,126.45,126.477,10795,125.79236666666664,1.0054425665998283,1
2022.04.15,13:00,126.477,126.48,126.411,126.432,9603,125.80969999999999,1.0049463594619494,1
2022.04.15,14:00,126.432,126.505,126.425,126.465,10009,125.82698333333333,1.0050705870057814,1
2022.04.15,15:00,126.465,126.534,126.447,126.472,10231,125.84168333333332,1.0050088067003766,1
2022.04.15,16:00,126.473,126.526,126.444,126.499,9375,125.85679999999998,1.0051026245701464,1
2022.04.15,17:00,126.5,126.512,126.454,126.471,4199,125.87163333333332,1.004761729476247,1
2022.04.15,18:00,126.47,126.476,126.305,126.32,3286,125.8851333333333,1.0034544719868963,1
2022.04.15,19:00,126.32,126.39,126.32,126.386,10703,125.89816666666665,1.0038748247591638,1
2022.04.15,20:00,126.386,126.419,126.348,126.387,2568,125.91135,1.0037776578521318,1
2022.04.15,21:00,126.387,126.41,126.358,126.364,9044,125.91519999999998,1.0035643035948005,1
2022.04.15,22:00,126.364,126.397,126.326,126.373,10900,125.92083333333332,1.0035908805135503,1
2022.04.15,23:00,126.374,126.478,126.351,126.369,3833,125.9262833333333,1.0035156811981403,1
2022.04.18,00:00,126.345,126.431,126.332,126.415,239,125.93231666666664,1.0038328790108022,1
2022.04.18,01:00,126.402,126.73,126.335,126.531,6120,125.94046666666665,1.0046889879715655,1
2022.04.18,02:00,126.531,126.691,126.504,126.616,6177,125.95358333333333,1.005259212553831,1
